Condition,Rule_Adjustment,Evidence_Basis,Empirical_Effect_Estimate,Rationale
Authorities_Involved > 4 AND Approval_Duration_Days > 35,+0.85,Literature-informed interaction direction; researcher-defined threshold and numerical adjustment,False,Represents compounded governance burden when many authorities coincide with long approvals.
Design_Change_Count >= 5 AND Scope_Clarity_Score < 6,+0.90,Literature-informed interaction direction; researcher-defined threshold and numerical adjustment,False,Represents interaction between frequent design changes and weak scope clarity.
Stakeholder_Communication_Score < 5 AND Coordination_Score < 5,+0.80,Literature-informed interaction direction; researcher-defined threshold and numerical adjustment,False,Represents combined communication and coordination weakness.
Resource_Availability_Score < 5 OR Labor_Productivity_Score < 5,+0.65,Literature-informed interaction direction; researcher-defined threshold and numerical adjustment,False,Represents resource/productivity scarcity as a schedule-risk condition.
Supplier_Reliability_Score < 5 AND Procurement_Lead_Time_Days > 45,+0.70,Literature-informed interaction direction; researcher-defined threshold and numerical adjustment,False,Represents unreliable supply plus long procurement lead time.
Contractor_Financial_Stability < 5 AND Payment_Delay_Days > 20,+0.75,Literature-informed interaction direction; researcher-defined threshold and numerical adjustment,False,Represents contractor financial weakness combined with payment delay.
External_Risk_Score > 7 OR Force_Majeure_Flag == 1,+0.95,Literature-informed interaction direction; researcher-defined threshold and numerical adjustment,False,Represents high external exposure or force-majeure occurrence.
Schedule_Buffer_Percent < 5 AND Complexity_Score >= 3,+0.65,Literature-informed interaction direction; researcher-defined threshold and numerical adjustment,False,Represents limited schedule contingency on complex projects.
BIM_Adoption_Level >= 2 AND Coordination_Score >= 7,-0.45,Literature-informed interaction direction; researcher-defined threshold and numerical adjustment,False,Represents a protective digital-coordination scenario.
AI_Tools_Adoption_Level >= 2 AND Project_Manager_Experience_Years >= 8,-0.35,Literature-informed interaction direction; researcher-defined threshold and numerical adjustment,False,Represents a protective analytics/experience scenario.
Schedule_Buffer_Percent >= 12 AND Scope_Clarity_Score >= 7,-0.35,Literature-informed interaction direction; researcher-defined threshold and numerical adjustment,False,Represents a protective combination of contingency and scope clarity.
