Variable,Type,Generation_Method,Range_or_Categories,Evidence_Basis,Rationale,Estimated_From_Real_Project_Data,Citation_Note
Project_Type,Categorical,Categorical choice,Construction 0.24; Infrastructure 0.20; Transportation 0.12; Utilities 0.12; Oil & Gas 0.10; Power Plant 0.10; IT/Digital 0.12,Researcher-defined simulation choice,Used to diversify the controlled synthetic benchmark; probabilities/ranges are researcher-defined.,False,Use direct manuscript citation for the expected relationship where claimed; do not cite the numeric simulation setting as empirical unless a source directly supports it.
Sector,Categorical,Categorical choice,Public 0.48; Private 0.32; Semi-Government 0.20,Researcher-defined simulation choice,Used to diversify the controlled synthetic benchmark; probabilities/ranges are researcher-defined.,False,Use direct manuscript citation for the expected relationship where claimed; do not cite the numeric simulation setting as empirical unless a source directly supports it.
Region,Categorical,Uniform categorical choice,Riyadh; Jeddah; Dammam; Makkah; Madinah; NEOM/Tabuk; Other,Researcher-defined simulation choice,Used to diversify the controlled synthetic benchmark; probabilities/ranges are researcher-defined.,False,Use direct manuscript citation for the expected relationship where claimed; do not cite the numeric simulation setting as empirical unless a source directly supports it.
Contract_Type,Categorical,Categorical choice,Lump Sum 0.24; EPC 0.22; Design-Build 0.18; Unit Rate 0.22; Time & Material 0.14,Researcher-defined simulation choice,Used to diversify the controlled synthetic benchmark; probabilities/ranges are researcher-defined.,False,Use direct manuscript citation for the expected relationship where claimed; do not cite the numeric simulation setting as empirical unless a source directly supports it.
Procurement_Method,Categorical,Categorical choice,Competitive Tender 0.42; Direct Award 0.12; Framework Agreement 0.16; Public Tender 0.30,Researcher-defined simulation choice,Used to diversify the controlled synthetic benchmark; probabilities/ranges are researcher-defined.,False,Use direct manuscript citation for the expected relationship where claimed; do not cite the numeric simulation setting as empirical unless a source directly supports it.
Complexity_Level,Categorical,Categorical choice,Low 0.18; Medium 0.42; High 0.30; Mega 0.10,Researcher-defined simulation choice,Used to diversify the controlled synthetic benchmark; probabilities/ranges are researcher-defined.,False,Use direct manuscript citation for the expected relationship where claimed; do not cite the numeric simulation setting as empirical unless a source directly supports it.
Complexity_Score,Numerical,Deterministic mapping,Low=1; Medium=2; High=3; Mega=4,Deterministic derived relationship,Ordinal numeric encoding of the simulated complexity category.,False,Use direct manuscript citation for the expected relationship where claimed; do not cite the numeric simulation setting as empirical unless a source directly supports it.
Planned_Duration_Days,Numerical,"Normal(120,35) + Complexity_Score*Normal(70,18) + Gamma(2,18)",Clipped 45–900 days; rounded integer,Literature-informed direction; researcher-defined numeric simulation setting,Generated to increase with simulated complexity; functional form and magnitude are simulation assumptions.,False,Use direct manuscript citation for the expected relationship where claimed; do not cite the numeric simulation setting as empirical unless a source directly supports it.
Planned_Budget_Million,Numerical,"Lognormal(mean=2.1,sigma=0.75)*Complexity_Score",Clipped 1–850; rounded 2 decimals,Literature-informed direction; researcher-defined numeric simulation setting,Generated to increase with simulated complexity; functional form and magnitude are simulation assumptions.,False,Use direct manuscript citation for the expected relationship where claimed; do not cite the numeric simulation setting as empirical unless a source directly supports it.
Schedule_Buffer_Percent,Numerical,"Beta(2,6)*25",Approximately 0–25%,Literature-informed direction; researcher-defined numeric simulation setting,Included because the literature identifies the construct as relevant to project delay/risk; the numerical distribution/range is not an empirical population estimate.,False,Use direct manuscript citation for the expected relationship where claimed; do not cite the numeric simulation setting as empirical unless a source directly supports it.
Scope_Clarity_Score,Numerical,"Normal(7.0,1.8)",Clipped 1–10; 1 decimal,Literature-informed direction; researcher-defined numeric simulation setting,Included because the literature identifies the construct as relevant to project delay/risk; the numerical distribution/range is not an empirical population estimate.,False,Use direct manuscript citation for the expected relationship where claimed; do not cite the numeric simulation setting as empirical unless a source directly supports it.
Stakeholder_Communication_Score,Numerical,"Normal(6.7,1.9)",Clipped 1–10; 1 decimal,Literature-informed direction; researcher-defined numeric simulation setting,Included because the literature identifies the construct as relevant to project delay/risk; the numerical distribution/range is not an empirical population estimate.,False,Use direct manuscript citation for the expected relationship where claimed; do not cite the numeric simulation setting as empirical unless a source directly supports it.
Coordination_Score,Numerical,"Normal(6.6,1.8)",Clipped 1–10; 1 decimal,Literature-informed direction; researcher-defined numeric simulation setting,Included because the literature identifies the construct as relevant to project delay/risk; the numerical distribution/range is not an empirical population estimate.,False,Use direct manuscript citation for the expected relationship where claimed; do not cite the numeric simulation setting as empirical unless a source directly supports it.
Contractor_Experience_Score,Numerical,"Normal(6.8,2.0)",Clipped 1–10; 1 decimal,Literature-informed direction; researcher-defined numeric simulation setting,Included because the literature identifies the construct as relevant to project delay/risk; the numerical distribution/range is not an empirical population estimate.,False,Use direct manuscript citation for the expected relationship where claimed; do not cite the numeric simulation setting as empirical unless a source directly supports it.
Project_Manager_Experience_Years,Numerical,"Normal(8,4)",Clipped 0–30 years; 1 decimal,Literature-informed direction; researcher-defined numeric simulation setting,Included because the literature identifies the construct as relevant to project delay/risk; the numerical distribution/range is not an empirical population estimate.,False,Use direct manuscript citation for the expected relationship where claimed; do not cite the numeric simulation setting as empirical unless a source directly supports it.
Resource_Availability_Score,Numerical,"Normal(6.8,1.7)",Clipped 1–10; 1 decimal,Literature-informed direction; researcher-defined numeric simulation setting,Included because the literature identifies the construct as relevant to project delay/risk; the numerical distribution/range is not an empirical population estimate.,False,Use direct manuscript citation for the expected relationship where claimed; do not cite the numeric simulation setting as empirical unless a source directly supports it.
Labor_Productivity_Score,Numerical,"Normal(6.6,1.8)",Clipped 1–10; 1 decimal,Literature-informed direction; researcher-defined numeric simulation setting,Included because the literature identifies the construct as relevant to project delay/risk; the numerical distribution/range is not an empirical population estimate.,False,Use direct manuscript citation for the expected relationship where claimed; do not cite the numeric simulation setting as empirical unless a source directly supports it.
Equipment_Availability_Score,Numerical,"Normal(7.0,1.6)",Clipped 1–10; 1 decimal,Literature-informed direction; researcher-defined numeric simulation setting,Included because the literature identifies the construct as relevant to project delay/risk; the numerical distribution/range is not an empirical population estimate.,False,Use direct manuscript citation for the expected relationship where claimed; do not cite the numeric simulation setting as empirical unless a source directly supports it.
Supplier_Reliability_Score,Numerical,"Normal(6.9,1.7)",Clipped 1–10; 1 decimal,Literature-informed direction; researcher-defined numeric simulation setting,Included because the literature identifies the construct as relevant to project delay/risk; the numerical distribution/range is not an empirical population estimate.,False,Use direct manuscript citation for the expected relationship where claimed; do not cite the numeric simulation setting as empirical unless a source directly supports it.
Contractor_Financial_Stability,Numerical,"Normal(7.0,1.8)",Clipped 1–10; 1 decimal,Literature-informed direction; researcher-defined numeric simulation setting,Included because the literature identifies the construct as relevant to project delay/risk; the numerical distribution/range is not an empirical population estimate.,False,Use direct manuscript citation for the expected relationship where claimed; do not cite the numeric simulation setting as empirical unless a source directly supports it.
Owner_Decision_Speed_Score,Numerical,"Normal(6.6,1.9)",Clipped 1–10; 1 decimal,Literature-informed direction; researcher-defined numeric simulation setting,Included because the literature identifies the construct as relevant to project delay/risk; the numerical distribution/range is not an empirical population estimate.,False,Use direct manuscript citation for the expected relationship where claimed; do not cite the numeric simulation setting as empirical unless a source directly supports it.
BIM_Adoption_Level,Ordinal,Categorical choice,0:0.35; 1:0.28; 2:0.25; 3:0.12,Literature-informed direction; researcher-defined numeric simulation setting,Included because the literature identifies the construct as relevant to project delay/risk; the numerical distribution/range is not an empirical population estimate.,False,Use direct manuscript citation for the expected relationship where claimed; do not cite the numeric simulation setting as empirical unless a source directly supports it.
AI_Tools_Adoption_Level,Ordinal,Categorical choice,0:0.48; 1:0.26; 2:0.18; 3:0.08,Literature-informed direction; researcher-defined numeric simulation setting,Included because the literature identifies the construct as relevant to project delay/risk; the numerical distribution/range is not an empirical population estimate.,False,Use direct manuscript citation for the expected relationship where claimed; do not cite the numeric simulation setting as empirical unless a source directly supports it.
Authorities_Involved,Numerical,Discrete uniform integers,1–6,Literature-informed direction; researcher-defined numeric simulation setting,Included because the literature identifies the construct as relevant to project delay/risk; the numerical distribution/range is not an empirical population estimate.,False,Use direct manuscript citation for the expected relationship where claimed; do not cite the numeric simulation setting as empirical unless a source directly supports it.
Approval_Per_Authority_Days,Numerical,Discrete uniform integers,2–15 days,Literature-informed direction; researcher-defined numeric simulation setting,Included because the literature identifies the construct as relevant to project delay/risk; the numerical distribution/range is not an empirical population estimate.,False,Use direct manuscript citation for the expected relationship where claimed; do not cite the numeric simulation setting as empirical unless a source directly supports it.
Approval_Duration_Days,Numerical,Authorities_Involved × Approval_Per_Authority_Days,Derived,Deterministic derived relationship,Derived to preserve the logical relationship between authority count and per-authority review time.,False,Use direct manuscript citation for the expected relationship where claimed; do not cite the numeric simulation setting as empirical unless a source directly supports it.
Design_Change_Count,Numerical,Poisson(lambda=1.3+0.7*Complexity_Score),Clipped 0–15,Literature-informed direction; researcher-defined numeric simulation setting,Generated conditionally on complexity to create plausible dependency structure; parameters are simulation assumptions.,False,Use direct manuscript citation for the expected relationship where claimed; do not cite the numeric simulation setting as empirical unless a source directly supports it.
Change_Request_Count,Numerical,Poisson(lambda=0.9+0.55*Complexity_Score),Clipped 0–12,Literature-informed direction; researcher-defined numeric simulation setting,Generated conditionally on complexity to create plausible dependency structure; parameters are simulation assumptions.,False,Use direct manuscript citation for the expected relationship where claimed; do not cite the numeric simulation setting as empirical unless a source directly supports it.
