Term,Coefficient,Coefficient_Numeric,Expected_Direction,Evidence_Basis,Empirical_Effect_Estimate,Rationale
Intercept,-2.40,-2.4,Risk-reducing,Researcher-defined simulation intercept,False,Sets the baseline latent-score level in the controlled synthetic benchmark.
Complexity_Score,+0.34,0.34,Risk-increasing,Literature-informed expected direction; researcher-defined coefficient magnitude,False,Higher simulated complexity is intended to increase synthetic delay propensity.
Planned_Duration_Days / 10,+0.015,0.015,Risk-increasing,Literature-informed expected direction; researcher-defined coefficient magnitude,False,Longer planned duration is treated as a proxy for scale/complexity exposure.
log1p(Planned_Budget_Million),+0.020,0.02,Risk-increasing,Literature-informed expected direction; researcher-defined coefficient magnitude,False,Budget is treated only as a simulated scale indicator; coefficient magnitude is not empirical.
Design_Change_Count,+0.10,0.1,Risk-increasing,Literature-informed expected direction; researcher-defined coefficient magnitude,False,More design changes are intended to increase synthetic schedule risk.
Change_Request_Count,+0.09,0.09,Risk-increasing,Literature-informed expected direction; researcher-defined coefficient magnitude,False,More change requests are intended to increase synthetic schedule risk.
Approval_Duration_Days,+0.012,0.012,Risk-increasing,Literature-informed expected direction; researcher-defined coefficient magnitude,False,Longer approval duration is intended to increase synthetic schedule risk.
Procurement_Lead_Time_Days,+0.012,0.012,Risk-increasing,Literature-informed expected direction; researcher-defined coefficient magnitude,False,Longer procurement lead time is intended to increase synthetic schedule risk.
Payment_Delay_Days,+0.018,0.018,Risk-increasing,Literature-informed expected direction; researcher-defined coefficient magnitude,False,Longer payment delay is intended to increase synthetic schedule risk.
External_Risk_Score,+0.11,0.11,Risk-increasing,Literature-informed expected direction; researcher-defined coefficient magnitude,False,Higher external-risk score is intended to increase synthetic schedule risk.
Quality_Defect_Rate,+0.06,0.06,Risk-increasing,Literature-informed expected direction; researcher-defined coefficient magnitude,False,More quality defects are intended to increase synthetic disruption/rework risk.
Safety_Incident_Count,+0.18,0.18,Risk-increasing,Literature-informed expected direction; researcher-defined coefficient magnitude,False,More safety incidents are intended to increase synthetic schedule disruption risk.
Scope_Clarity_Score,-0.12,-0.12,Risk-reducing,Literature-informed expected direction; researcher-defined coefficient magnitude,False,Greater scope clarity is intended to reduce synthetic delay propensity.
Stakeholder_Communication_Score,-0.10,-0.1,Risk-reducing,Literature-informed expected direction; researcher-defined coefficient magnitude,False,Better communication is intended to reduce synthetic delay propensity.
Coordination_Score,-0.09,-0.09,Risk-reducing,Literature-informed expected direction; researcher-defined coefficient magnitude,False,Better coordination is intended to reduce synthetic delay propensity.
Contractor_Experience_Score,-0.08,-0.08,Risk-reducing,Literature-informed expected direction; researcher-defined coefficient magnitude,False,Greater contractor experience is intended to reduce synthetic delay propensity.
Resource_Availability_Score,-0.08,-0.08,Risk-reducing,Literature-informed expected direction; researcher-defined coefficient magnitude,False,Greater resource availability is intended to reduce synthetic delay propensity.
Labor_Productivity_Score,-0.07,-0.07,Risk-reducing,Literature-informed expected direction; researcher-defined coefficient magnitude,False,Higher labor productivity is intended to reduce synthetic delay propensity.
Equipment_Availability_Score,-0.06,-0.06,Risk-reducing,Literature-informed expected direction; researcher-defined coefficient magnitude,False,Greater equipment availability is intended to reduce synthetic delay propensity.
Supplier_Reliability_Score,-0.06,-0.06,Risk-reducing,Literature-informed expected direction; researcher-defined coefficient magnitude,False,Greater supplier reliability is intended to reduce synthetic delay propensity.
Contractor_Financial_Stability,-0.06,-0.06,Risk-reducing,Literature-informed expected direction; researcher-defined coefficient magnitude,False,Greater financial stability is intended to reduce synthetic delay propensity.
Owner_Decision_Speed_Score,-0.05,-0.05,Risk-reducing,Literature-informed expected direction; researcher-defined coefficient magnitude,False,Faster owner decisions are intended to reduce synthetic delay propensity.
Schedule_Buffer_Percent,-0.035,-0.035,Risk-reducing,Literature-informed expected direction; researcher-defined coefficient magnitude,False,Greater schedule contingency is intended to reduce synthetic delay propensity.
BIM_Adoption_Level,-0.18,-0.18,Risk-reducing,Literature-informed expected direction; researcher-defined coefficient magnitude,False,Higher simulated BIM maturity is intended to reduce synthetic delay propensity.
AI_Tools_Adoption_Level,-0.12,-0.12,Risk-reducing,Literature-informed expected direction; researcher-defined coefficient magnitude,False,Higher simulated AI-tool adoption is intended to reduce synthetic delay propensity.
